Date,Close/Last,Volume,Open,High,Low
01/27/2021,$178.79,2261347,$182.47,$183.52,$177.73
01/26/2021,$183.75,1248937,$184.609,$185.335,$183.02
01/25/2021,$184.37,1350742,$183.69,$185.12,$182.07
01/22/2021,$184.04,1135631,$185.51,$185.95,$183.89
01/21/2021,$186.20,1424347,$189.45,$189.45,$186.07
01/20/2021,$189.83,1217549,$192.28,$192.74,$188.86
01/19/2021,$192.20,1528190,$193.22,$194.35,$191.0301
01/15/2021,$191.82,1376746,$192.66,$193.68,$191.14
01/14/2021,$194.14,1330025,$198.24,$198.925,$193.73
01/13/2021,$197.95,1973945,$202.47,$205.05,$197.67
01/12/2021,$201.49,1631707,$199.29,$202.10,$198.57
01/11/2021,$198.94,1399217,$198.52,$200.33,$197.0125
01/08/2021,$199.68,1867415,$196.9816,$200.86,$196.9816
01/07/2021,$198.81,2788805,$197.24,$199.30,$195.01
01/06/2021,$193.38,4452408,$181.61,$194.81,$181.16
01/05/2021,$179.12,1683179,$179.62,$179.75,$177.51
01/04/2021,$179.30,1437733,$183.10,$183.17,$177.685
12/31/2020,$182.05,1400106,$178.56,$182.2199,$178.11
12/30/2020,$178.00,813394,$179.85,$180.18,$177.77
12/29/2020,$178.86,872086,$181.14,$181.48,$178.69
12/28/2020,$180.39,951647,$179.15,$181.07,$178.71
12/24/2020,$178.48,466097,$177.83,$178.85,$177.15
12/23/2020,$180.34,1290016,$181.45,$183.305,$180.20
12/22/2020,$181.00,1001913,$181.84,$182.9899,$180.61
12/21/2020,$181.77,1831183,$181.57,$182.88,$179.66
12/18/2020,$183.98,3581305,$185.21,$187.00,$181.87
12/17/2020,$184.94,1954227,$183.08,$185.26,$182.20
12/16/2020,$181.72,1223639,$181.44,$183.23,$181.00
12/15/2020,$181.39,1440825,$178.54,$181.40,$177.76
12/14/2020,$177.55,1382247,$181.71,$182.28,$177.54
12/11/2020,$180.27,2010585,$181.34,$184.34,$179.77
12/10/2020,$182.48,1831127,$181.44,$183.77,$181.17
12/09/2020,$182.38,1406984,$184.30,$184.50,$180.94
12/08/2020,$183.38,1545759,$182.11,$184.29,$179.465
12/07/2020,$183.18,1210984,$180.53,$183.66,$180.09
12/04/2020,$184.03,1323190,$182.34,$185.11,$181.72
12/03/2020,$181.71,1449830,$181.33,$182.86,$179.37
12/02/2020,$181.88,1673761,$178.92,$182.95,$178.88
12/01/2020,$179.16,2626895,$177.03,$180.33,$175.91
11/30/2020,$175.03,1925468,$173.55,$175.14,$172.95
11/27/2020,$174.77,920999,$174.54,$176.125,$173.69
11/25/2020,$174.79,1827985,$173.18,$174.90,$170.68
11/24/2020,$173.18,2074245,$170.26,$174.1399,$169.91
11/23/2020,$168.78,1752702,$168.72,$171.03,$167.72
11/20/2020,$167.47,1282776,$166.45,$168.335,$164.98
11/19/2020,$165.93,972839,$165.32,$166.68,$163.52
11/18/2020,$165.78,1225403,$168.35,$169.645,$165.645
11/17/2020,$168.07,1372559,$166.64,$168.48,$165.45
11/16/2020,$168.77,1660281,$168.53,$169.34,$166.12
11/13/2020,$165.96,1548834,$161.95,$167.075,$161.7071
11/12/2020,$161.01,1500088,$164.35,$165.20,$159.46
11/11/2020,$165.81,1952056,$169.37,$170.27,$165.17
11/10/2020,$168.71,3366032,$162.03,$168.87,$161.11
11/09/2020,$162.41,4198359,$160.84,$166.39,$160.24
11/06/2020,$150.59,1566148,$151.81,$151.83,$149.30
11/05/2020,$150.45,2023652,$152.05,$152.61,$150.00
11/04/2020,$150.50,2485987,$154.368,$156.283,$150.32
11/03/2020,$153.48,1770506,$154.81,$156.21,$153.22
11/02/2020,$152.28,2100671,$153.00,$154.78,$150.84
10/30/2020,$150.72,1947888,$149.15,$150.87,$147.80
10/29/2020,$149.99,2348095,$149.24,$152.58,$146.89
